"Run ID","User ID","User Name","Category","Hours","Minutes","Seconds","Platform ID","Platform Name","Verified","URL","Date"
"9yo45v0m","1xykkm8r","ewaller","Any%","0","37.0","45.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/9yo45v0m","2014-07-19"
"pydqo8vm","1xykkm8r","ewaller","100%","3.0","43.0","55.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/pydqo8vm","2013-02-18"
"9mrq5jgy","7j49rl81","Kanri","100%","3.0","28.0","35.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/9mrq5jgy","2013-09-27"
"jy90p72y","68w51z8g","roryextralife","Any%","1.0","10.0","8.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/jy90p72y","2013-11-02"
"nz1ookjm","5j5plz8v","HaosEdge","Any%","1.0","6.0","45.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/nz1ookjm","2015-07-05"
"emk87vlm","qjoy0lx6","spades","Any%","0","37.0","42.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/emk87vlm","2015-07-07"
"8yv9ldxz","98rpgyqj","cosmicluma","Any%","0","48.0","7.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/8yv9ldxz","2013-11-01"
"pyd0xvjz","5j5plz8v","HaosEdge","Any%","0","53.0","12.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/pyd0xvjz","2015-07-10"
"7z09vx4z","7j406d81","dagpetter1","Any%","0","41.0","46.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/7z09vx4z","2018-01-09"
"9me93x9z","v814w9r8","AceKingSuitedAK","Any%","1.0","13.0","58.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/9me93x9z","2015-08-24"
"jy9ndgrz","dx31z28l","Nupperz","Any%","0","49.0","45.0","8gejn93d","WiiU","rejected","https://www.speedrun.com/api/v1/runs/jy9ndgrz","2014-12-01"
"7ylo2q3y","dx31z28l","Nupperz","Any%","0","48.0","31.0","8gejn93d","WiiU","rejected","https://www.speedrun.com/api/v1/runs/7ylo2q3y","2015-09-13"
"oy2v4w9z","dx31z28l","Nupperz","Any% Boost Mode","0","46.0","44.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/oy2v4w9z","2015-09-13"
"pydr86xz","48ge2w7j","VincentWeir","Any%","1.0","11.0","30.0","8gejn93d","WiiU","rejected","https://www.speedrun.com/api/v1/runs/pydr86xz","2015-09-21"
"oy2xjg5m","zxzdpejq","Themaingamerxd","Any%","1.0","3.0","54.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/oy2xjg5m","2015-10-18"
"7ylr4wry","e8e496x0","huxxny","Any%","0","51.0","22.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/7ylr4wry","2015-11-20"
"jy9v2n2m","dx35rdkj","BackSapper","Any%","0","49.0","45.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/jy9v2n2m","2016-02-07"
"emkk2w1m","7j49rl81","Kanri","Any%","0","40.0","22.0","8gejn93d","WiiU","verified","https://www.speedrun.com/api/v1/runs/emkk2w1m","2013-01-13"
"0y60d60y","ERROR","PenileEruptor","Any%","0","37.0","58.0","8gejn93d","WiiU","rejected","https://www.speedrun.com/api/v1/runs/0y60d60y","2016-02-12"
