"Run ID","User ID","User Name","Category","Hours","Minutes","Seconds","Platform ID","Platform Name","Verified","URL","Date"
"6yjlx0nz","zxzq79xq","krille71","Any%","0","2.0","9.339","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/6yjlx0nz","2015-03-09"
"7ylkeg3z","zxzq79xq","krille71","Hell%","0","4.0","50.94","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/7ylkeg3z","2015-03-27"
"pzgwd4ny","zxzq79xq","krille71","Low%","0","2.0","54.107","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/pzgwd4ny","2015-04-30"
"7z05q18m","98r22gx1","Nkitten","Any%","0","6.0","2.165","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/7z05q18m","2014-01-22"
"9yo92v0y","zxzq79xq","krille71","Any%","0","1.0","56.402","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/9yo92v0y","2015-08-09"
"2yw0q10m","qj2mvn8k","DetectivexConan","Any%","0","3.0","21.743","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/2yw0q10m","2014-05-07"
"6yj1gkgy","qj2mvn8k","DetectivexConan","Hell%","0","7.0","55.5","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/6yj1gkgy","2014-04-29"
"pzggwwez","5j5wpznj","Bum","Any%","0","1.0","48.068","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/pzggwwez","2014-10-13"
"9me7oo0y","5j5wpznj","Bum","Hell%","0","4.0","15.46","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/9me7oo0y","2015-09-09"
"9yo7kk0m","5j5wpznj","Bum","Low%","0","2.0","49.106","mx6pwe3g","Playstation 3","verified","https://www.speedrun.com/api/v1/runs/9yo7kk0m","2015-06-13"
"wzp1lngz","zxzq79xq","krille71","Hell%","0","4.0","24.716","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/wzp1lngz","2015-09-15"
"6yjgg7ny","18qkdd8n","curtis","Low%","0","2.0","48.41","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/6yjgg7ny","2015-10-07"
"oy2xgrjm","18qkdd8n","curtis","Hell%","0","4.0","27.895","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/oy2xgrjm","2015-10-21"
"dy470l3y","zxzq79xq","krille71","Hell%","0","4.0","14.983","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/dy470l3y","2015-12-22"
"pzgdrwez","e8e9em6j","m_maniac","Low%","0","4.0","5.734","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/pzgdrwez","2016-01-14"
"kz5gn9em","0jmly2o8","Kinnijup","Any%","0","1.0","39.716","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/kz5gn9em","2016-04-13"
"7z0q2v8m","0jmly2o8","Kinnijup","Low%","0","2.0","44.339","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/7z0q2v8m","2016-06-28"
"8y8pl5nz","0jmly2o8","Kinnijup","Hell%","0","3.0","36.363","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/8y8pl5nz","2016-05-19"
"2ywwgn9y","qj26rvox","grooomp","Any%","0","1.0","55.086","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/2ywwgn9y","2016-08-05"
"9menww8m","qj26rvox","grooomp","Low%","0","2.0","58.518","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/9menww8m","2016-10-10"
"pyd47k0y","18qkdd8n","curtis","Low%","0","2.0","34.484","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/pyd47k0y","2016-12-07"
"0y64g1pm","1xym6emx","Aj12maxwas","Any%","0","17.0","43.0","8gej2n93","PC","rejected","https://www.speedrun.com/api/v1/runs/0y64g1pm","2017-01-15"
"pydk5jvm","1xyo2zvj","alqk0310","Any%","0","3.0","38.066","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/pydk5jvm","2014-06-23"
"9yo1no7m","kjp6gz28","SAIBOT","Any%","0","2.0","12.483","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/9yo1no7m","2016-08-09"
"2ywlrg0m","kjp6gz28","SAIBOT","Hell%","0","6.0","10.765","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/2ywlrg0m","2016-08-12"
"zgnww4vy","48g5epjp","Wilbo","Any%","0","4.0","1.43","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/zgnww4vy","2017-06-23"
"y23d2p6m","98r1vrgj","MikeIsMyIke","Any%","0","3.0","2.081","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/y23d2p6m","2017-05-15"
"y45e6gdm","98r1vrgj","MikeIsMyIke","Hell%","0","5.0","51.105","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/y45e6gdm","2017-07-13"
"yl9vd6ry","98r1vrgj","MikeIsMyIke","Low%","0","3.0","22.274","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/yl9vd6ry","2017-06-13"
"yvg9dg8y","y8dem69j","AgileTurnip","Any%","0","5.0","19.22","n568oevp","XBox 360","verified","https://www.speedrun.com/api/v1/runs/yvg9dg8y","2017-04-11"
"zgnv4d0y","zx7z1n08","SirFist","Any%","0","3.0","42.545","n568oevp","XBox 360","verified","https://www.speedrun.com/api/v1/runs/zgnv4d0y","2013-08-08"
"y97n29rm","y8dpnro8","meowmixmix","Any%","0","2.0","8.286","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/y97n29rm","2017-06-02"
"z1381rwm","y8dpnro8","meowmixmix","Hell%","0","5.0","32.869","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/z1381rwm","2017-05-04"
"mk4795ly","y8dpnro8","meowmixmix","Low%","0","2.0","58.368","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/mk4795ly","2017-03-29"
"m798p79y","y8dpnro8","meowmixmix","Eggplant%","0","35.0","54.21","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/m798p79y","2017-03-04"
"mrq48n8y","y8dpnro8","meowmixmix","All Shortcuts + Olmec","0","17.0","4.26","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/mrq48n8y","2017-05-24"
"zxv64oky","y8dpnro8","meowmixmix","All Journal Entries","0","47.0","36.22","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/zxv64oky","2017-03-08"
"z5o01djy","0jmzenex","saturnin55","Any%","0","2.0","47.545","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/z5o01djy","2016-12-28"
"y452372m","0jmzenex","saturnin55","Low%","0","3.0","12.587","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/y452372m","2017-07-10"
"zq6g3v1y","0jmzenex","saturnin55","Eggplant%","0","20.0","18.937","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/zq6g3v1y","2017-07-07"
"y23vq77m","0jmzenex","saturnin55","All Shortcuts + Olmec","0","20.0","27.8","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/y23vq77m","2016-09-18"
"z0e637om","0jmzenex","saturnin55","All Journal Entries","0","57.0","34.99","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/z0e637om","2016-09-15"
"zn8o40vz","0jmly2o8","Kinnijup","Low%","0","2.0","34.38","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/zn8o40vz","2017-07-20"
"yw10pknz","0jmly2o8","Kinnijup","Eggplant%","0","8.0","50.95","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/yw10pknz","2016-06-09"
