"Run ID","User ID","User Name","Category","Hours","Minutes","Seconds","Platform ID","Platform Name","Verified","URL","Date"
"yj6kwvgz","zxzq79xq","krille71","Any%","0","6.0","8.616","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/yj6kwvgz","2020-09-15"
"zxdvp95y","68w7oolx","Buddy7heElf","Any%","0","7.0","42.116","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/zxdvp95y","2020-09-17"
"y8rqll5m","pj0ep4m8","d_tea","Any%","0","3.0","36.2","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/y8rqll5m","2020-09-17"
"yj6kv87z","7j476w5j","InTol","Any%","0","5.0","38.233","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/yj6kv87z","2020-09-17"
"z09ev0jz","qj26rvox","grooomp","Any%","0","16.0","17.4","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/z09ev0jz","2020-09-18"
"m759rjwz","7j4k4zlx","BlueCadet-3","Any%","0","7.0","6.75","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/m759rjwz","2020-09-18"
"yo3292jy","68w7o9zx","ShinGraywords","Any%","0","15.0","23.33","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/yo3292jy","2020-09-20"
"z093r58z","0jmly2o8","Kinnijup","Any%","0","8.0","15.733","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/z093r58z","2020-09-20"
"mr98n62m","kjpwpe5x","tictacfoe","Any%","0","34.0","24.0","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/mr98n62m","2020-09-21"
"yj645p3z","48g197p8","XanaGear","Any%","0","8.0","42.616","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/yj645p3z","2020-09-21"
"y4e37gdm","zx7gmz0x","ix","Any%","0","7.0","1.616","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/y4e37gdm","2020-09-21"
"zxd4o1ky","68w7o9zx","ShinGraywords","Any%","0","7.0","24.366","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/zxd4o1ky","2020-09-21"
"zpl0d8rm","kjpwpe5x","tictacfoe","Any%","0","13.0","38.716","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/zpl0d8rm","2020-09-22"
"mr98r0dm","o86n32px","Vlad","Any%","0","42.0","53.25","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/mr98r0dm","2020-09-22"
"me68082z","zxzq79xq","krille71","Any%","0","3.0","54.633","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/me68082z","2020-09-23"
"y2dqkjwz","kjp93448","FunkMastaDre","Any%","0","8.0","6.5","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/y2dqkjwz","2020-09-23"
"yd032vjz","kjp6gz28","SAIBOT","Any%","0","4.0","28.1","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/yd032vjz","2020-09-23"
"zn34x98y","zx7gmz0x","ix","Any%","0","5.0","49.566","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/zn34x98y","2020-09-23"
"ywdpwk2z","7j476w5j","InTol","Any%","0","3.0","1.7","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/ywdpwk2z","2020-09-24"
"zpl0kjgm","0jm3kqz8","twiggle","Any%","0","7.0","51.183","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/zpl0kjgm","2020-09-24"
"mr98dv7m","8dwnk7gj","thatmarkguy","Any%","0","38.0","19.95","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/mr98dv7m","2020-09-24"
"z1o176gm","zx7gmz0x","ix","Sunken City%","0","35.0","43.33","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/z1o176gm","2020-09-24"
"m75pvl0z","zx7gmz0x","ix","No Teleporter Any%","0","5.0","49.566","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/m75pvl0z","2020-09-24"
"mr985d2m","48g197p8","XanaGear","Sunken City%","0","55.0","34.783","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/mr985d2m","2020-09-24"
"zxd450qy","48g197p8","XanaGear","No Teleporter Any%","0","8.0","42.616","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/zxd450qy","2020-09-24"
"z5316wgy","pj0ep4m8","d_tea","Sunken City%","0","21.0","31.616","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/z5316wgy","2020-09-24"
"m3go2vwz","pj0ep4m8","d_tea","No Gold","0","9.0","22.433","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/m3go2vwz","2020-09-24"
"y4e30nnm","pj0ep4m8","d_tea","No Teleporter Any%","0","5.0","28.5","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/y4e30nnm","2020-09-24"
"zq435p5m","7j476w5j","InTol","Sunken City%","0","29.0","22.333","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/zq435p5m","2020-09-24"
"y2dqr86z","7j476w5j","InTol","No Teleporter Any%","0","5.0","38.233","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/y2dqr86z","2020-09-24"
"z093k04z","zx7gmz0x","ix","Sunken City%","0","35.0","43.33","nzelkr6q","Playstation 4","verified","https://www.speedrun.com/api/v1/runs/z093k04z","2020-09-24"
