"Run ID","User ID","User Name","Category","Hours","Minutes","Seconds","Platform ID","Platform Name","Verified","URL","Date"
"z13do29m","5j5qkw6j","BarryMode","Any%","0","2.0","30.0","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/z13do29m","2013-04-13"
"m3dqn9dz","qxkge2mj","GruntingCrunchy","Any%","0","6.0","43.0","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/m3dqn9dz","2017-12-14"
"zx4gvw8y","zx7gmz0x","ix","Any%","0","5.0","44.0","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/zx4gvw8y","2018-09-03"
"y43o30dz","0jmzenex","saturnin55","Any%","0","4.0","46.0","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/y43o30dz","2018-12-07"
"z11kr7gz","98r1vrgj","MikeIsMyIke","Any%","0","3.0","13.0","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/z11kr7gz","2018-12-28"
"mr8x748y","qj26rvox","grooomp","Any%","0","3.0","19.0","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/mr8x748y","2019-01-26"
"z51g20jm","68w7o9zx","ShinGraywords","Any%","0","3.0","59.0","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/z51g20jm","2019-01-26"
"m3oj3ngm","48glr97x","TheNitromeFan","Any%","0","8.0","56.0","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/m3oj3ngm","2019-01-26"
"y43lq22z","98r1vrgj","MikeIsMyIke","Any%","0","3.0","7.0","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/y43lq22z","2019-01-26"
"zq3q7g1y","dx3dv2e8","MNCmascot","Any%","0","16.0","45.0","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/zq3q7g1y","2019-01-26"
"y2qwpv7y","qxkge2mj","GruntingCrunchy","Any%","0","4.0","38.0","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/y2qwpv7y","2019-01-26"
"y92e9n2z","98rl1q68","Kirby703","Any%","0","10.0","16.0","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/y92e9n2z","2019-02-21"
"mexo630z","98rl1q68","Kirby703","Any%","0","6.0","38.0","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/mexo630z","2019-07-10"
"mex32l3z","18v6gnxl","baq","Any%","0","5.0","38.0","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/mex32l3z","2019-10-09"
"yj3pr47z","18v6gnxl","baq","Any%","0","3.0","57.0","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/yj3pr47z","2019-10-09"
"mrkv384y","98rp7lgj","bronxtaco","Any%","0","4.0","45.0","8gej2n93","PC","verified","https://www.speedrun.com/api/v1/runs/mrkv384y","2020-07-15"
