"Run ID","User ID","User Name","Category","Hours","Minutes","Seconds","Platform ID","Platform Name","Verified","URL","Date"
"wzpr08mq","qxkog680","Svenne","Any% (No Wrong Warp)","0","13.0","43.0","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/wzpr08mq","2012-12-22"
"pyd53wmn","qxkog680","Svenne","Any% Warpless","0","58.0","31.0","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/pyd53wmn","2014-05-03"
"nz151gye","ERROR","[se]Frezy_man","Any% (No Wrong Warp)","0","10.0","52.0","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/nz151gye","2009-10-17"
"1zqw35zl","qjn2k4jm","AndrewG","Any% (No Wrong Warp)","0","11.0","6.0","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/1zqw35zl","2008-06-30"
"9mrke2yq","ERROR","MitchFlowerPower","Any% (No Wrong Warp)","0","10.0","49.0","jm95z9ol","NES","rejected","https://www.speedrun.com/api/v1/runs/9mrke2yq","2013-12-15"
"1zx2kqmx","ERROR","MitchFlowerPower","Any% Warpless","0","51.0","54.0","jm95z9ol","NES","rejected","https://www.speedrun.com/api/v1/runs/1zx2kqmx","2014-02-18"
"kz5j7gmr","ERROR","MitchFlowerPower","Any%","0","3.0","22.0","jm95z9ol","NES","rejected","https://www.speedrun.com/api/v1/runs/kz5j7gmr","2014-05-18"
"pm351wy0","ERROR","MitchFlowerPower","100%","1.0","12.0","33.0","jm95z9ol","NES","rejected","https://www.speedrun.com/api/v1/runs/pm351wy0","2013-11-13"
"7ylkorzp","48g541jp","Maggara1","Any%","0","3.0","29.0","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/7ylkorzp","2014-04-18"
"8y8d7wz1","y8d3lmx6","Bertstarebro","Any% (No Wrong Warp)","0","11.0","3.0","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/8y8d7wz1","2014-09-17"
"1zx7oqyx","qjop1ex6","CujoIHSV","Any% (No Wrong Warp)","0","11.0","56.0","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/1zx7oqyx","2014-03-11"
"kz52dgzr","qjop1ex6","CujoIHSV","Any% Warpless","0","52.0","53.0","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/kz52dgzr","2014-07-20"
"pm337wm0","qjop1ex6","CujoIHSV","100%","1.0","15.0","2.0","jm95z9ol","NES","verified","https://www.speedrun.com/api/v1/runs/pm337wm0","2014-07-25"
